                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2698,                0.94127,                 1.4401,                0.77905,                0.57585,                0.67544,                0.37664,                 1.5624,                 1.1379,                 1.5666,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2761,                0.94909,                 1.4376,                0.78711,                0.60978,                0.69591,                0.39951,                 1.5455,                 1.0579,                 1.5552,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2698,                0.93929,                 1.4377,                  0.824,                0.60741,                0.71163,                0.41468,                 1.4934,                 1.0419,                 1.5169,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2546,                0.92194,                 1.4239,                0.77059,                0.61277,                0.69962,                0.38487,                 1.5663,                  1.085,                 1.5791,               0.001307,               0.001307,               0.001307
                     37,                 1.2536,                0.91957,                 1.4221,                0.76789,                0.60379,                 0.6943,                0.39969,                 1.5197,                 1.0617,                 1.5349,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2413,                0.90883,                 1.4053,                0.84986,                0.60778,                0.73227,                0.42446,                 1.4722,                  1.003,                 1.4991,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.235,                0.90507,                 1.4001,                0.82831,                0.61577,                0.71926,                0.42204,                 1.4825,                 1.0091,                 1.5013,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2463,                0.90177,                 1.4045,                0.81767,                 0.6477,                0.74197,                0.42301,                 1.5058,                 1.0197,                  1.505,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2178,                0.87752,                 1.3881,                0.81689,                0.62331,                0.73445,                0.43398,                 1.4679,                 0.9712,                 1.4937,               0.001208,               0.001208,               0.001208
                     42,                 1.2183,                0.88179,                  1.387,                0.79422,                0.63074,                0.73392,                0.42247,                 1.5086,                 1.0089,                 1.5118,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2044,                0.86207,                 1.3747,                0.83211,                0.63312,                0.73749,                0.42345,                 1.4969,                  1.014,                 1.4902,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1884,                0.84789,                 1.3577,                0.84933,                0.62575,                 0.7427,                0.43617,                 1.4699,                0.97162,                 1.4789,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1888,                 0.8452,                 1.3639,                0.79375,                0.64271,                 0.7357,                0.42993,                 1.4835,                0.99061,                 1.4935,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1873,                0.84361,                  1.368,                 0.8129,                0.64371,                 0.7469,                0.43722,                 1.4879,                0.95815,                 1.4893,               0.001109,               0.001109,               0.001109
                     47,                 1.1747,                0.83412,                 1.3553,                 0.8254,                0.65578,                0.75022,                 0.4349,                 1.4862,                0.95653,                 1.5042,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1743,                0.82836,                  1.348,                0.80949,                0.65304,                0.74939,                0.43975,                 1.4542,                0.96347,                 1.4737,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1525,                0.80026,                 1.3373,                0.81377,                0.66289,                0.75645,                0.44619,                 1.4435,                0.92976,                 1.4657,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1599,                0.80888,                 1.3333,                0.83388,                0.64626,                0.75342,                0.44323,                 1.4434,                0.92457,                 1.4558,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1462,                0.80047,                 1.3244,                0.85393,                0.64176,                0.75488,                0.44143,                 1.4637,                0.93917,                 1.4858,                0.00101,                0.00101,                0.00101
                     52,                 1.1552,                0.80544,                 1.3296,                0.87124,                0.64826,                 0.7678,                0.45509,                 1.4359,                0.92231,                 1.4426,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1408,                0.78646,                 1.3188,                0.81102,                0.66567,                0.76311,                0.45033,                 1.4442,                0.93843,                  1.463,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1371,                0.77508,                 1.3043,                 0.8633,                0.65768,                0.76956,                0.46389,                 1.3995,                0.91427,                  1.429,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1302,                0.78386,                 1.3136,                 0.8471,                0.64136,                0.75008,                0.45153,                 1.4206,                0.90806,                 1.4361,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1004,                 0.7501,                 1.2941,                0.85393,                 0.6418,                0.75776,                0.45008,                 1.4215,                0.90053,                 1.4459,               0.000911,               0.000911,               0.000911
                     57,                 1.1312,                 0.7807,                 1.3004,                0.84694,                0.67465,                0.76983,                0.45787,                 1.4066,                0.90285,                  1.424,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1201,                0.76447,                 1.3009,                0.84206,                0.65269,                0.76936,                0.46283,                  1.416,                0.87421,                 1.4309,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0997,                0.74639,                 1.2905,                0.86683,                0.65868,                0.78587,                0.46747,                 1.4027,                0.87549,                 1.4157,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1104,                0.75227,                 1.2878,                 0.8578,                0.65369,                0.77599,                0.46524,                 1.4053,                0.88804,                 1.4254,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0996,                0.74059,                 1.2883,                0.84082,                0.65469,                0.77124,                 0.4639,                  1.419,                0.86227,                 1.4301,               0.000812,               0.000812,               0.000812
                     62,                 1.0917,                0.74225,                 1.2837,                0.85089,                0.66068,                0.77567,                0.47117,                 1.3957,                0.86421,                 1.4162,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0659,                0.72298,                 1.2686,                0.87008,                0.67066,                0.78469,                0.47574,                  1.389,                0.86687,                 1.4155,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0842,                0.73565,                 1.2759,                0.88724,                0.64471,                0.78149,                0.47354,                 1.3946,                 0.8666,                 1.4047,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0772,                0.73223,                 1.2717,                0.84604,                0.67066,                0.77628,                0.46986,                 1.3875,                0.85639,                    1.4,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0718,                0.72314,                 1.2635,                0.85715,                0.67068,                0.77555,                0.48022,                 1.3712,                0.83345,                 1.3945,               0.000713,               0.000713,               0.000713
                     67,                 1.0576,                0.72466,                 1.2573,                0.83303,                0.69561,                0.79217,                0.47997,                 1.3742,                0.83717,                 1.3962,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0649,                0.70873,                 1.2579,                0.85235,                 0.6976,                0.79207,                0.47505,                 1.3966,                0.85122,                 1.4031,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0441,                0.70193,                  1.252,                0.86906,                0.66898,                0.79053,                0.48066,                 1.3837,                0.82827,                  1.392,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0618,                0.70773,                 1.2534,                 0.8697,                0.68663,                0.79351,                0.48866,                 1.3753,                0.82377,                 1.3974,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0352,                0.69802,                 1.2495,                0.86615,                0.67864,                0.79314,                0.48397,                 1.3625,                0.82939,                  1.382,               0.000614,               0.000614,               0.000614
                     72,                 1.0472,                0.69664,                 1.2432,                0.86157,                0.68948,                0.80225,                0.48565,                 1.3742,                0.82061,                 1.3789,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0476,                0.69336,                  1.243,                0.88383,                0.67574,                0.80071,                0.49091,                 1.3583,                0.80352,                 1.3814,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0199,                0.68387,                 1.2336,                0.85849,                0.69021,                 0.7946,                0.48529,                 1.3709,                0.80823,                 1.3929,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0331,                0.68686,                  1.236,                0.87266,                0.69561,                0.79491,                0.48859,                 1.3594,                0.80862,                 1.3787,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0176,                0.67307,                 1.2298,                0.88438,                0.66367,                0.79036,                0.48695,                 1.3639,                0.80496,                 1.3893,               0.000515,               0.000515,               0.000515
                     77,                  1.024,                0.67928,                  1.226,                0.87035,                0.66998,                0.79098,                0.49044,                 1.3556,                0.79862,                  1.381,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0099,                0.66024,                 1.2247,                0.87477,                0.69713,                0.80069,                0.49516,                 1.3534,                0.79511,                 1.3707,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0139,                0.66725,                 1.2214,                0.86603,                 0.6903,                0.79792,                0.49488,                 1.3415,                0.78699,                 1.3639,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0147,                0.66281,                 1.2166,                0.84021,                0.70659,                0.80297,                0.49583,                 1.3376,                0.79592,                 1.3621,              0.0004358,              0.0004358,              0.0004358
                     81,                0.99852,                0.65595,                 1.2127,                0.86696,                 0.6986,                0.80372,                0.49867,                 1.3346,                 0.7908,                 1.3598,               0.000416,               0.000416,               0.000416
