                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4129,                 5.4619,                  4.483,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1591,                      0,                      0,                      0
                      1,                  3.216,                 5.6462,                 4.2705,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1591,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      2,                 3.5453,                 5.5098,                 4.3617,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                  4.159,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      3,                 3.3018,                 5.6278,                 4.2854,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1592,              3.464e-06,              3.464e-06,              3.464e-06
                      4,                 3.5483,                 5.5847,                 4.2963,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1594,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      5,                 3.0329,                 5.5927,                 4.2934,                      0,                      0,                      0,                      0,                 3.3803,                   5.32,                 4.1593,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      6,                 3.4573,                  5.414,                 4.4021,                      0,                      0,                      0,                      0,                 3.3799,                   5.32,                 4.1595,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      7,                 3.2826,                 5.4839,                 4.2871,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1597,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      8,                 3.1282,                 5.5372,                 4.2567,                      0,                      0,                      0,                      0,                 3.3803,                 5.3196,                 4.1596,              8.766e-06,              8.766e-06,              8.766e-06
