                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3086,                 3.2992,                 3.7999,                0.02219,                0.05988,                0.00569,                0.00222,                 3.5547,                 5.1391,                 3.9907,             0.00066158,             0.00066158,             0.00066158
                      1,                 2.6038,                  2.591,                 2.8498,                0.20539,                0.17964,                0.12043,                0.04152,                 2.5347,                  2.686,                 2.7014,              0.0013205,              0.0013205,              0.0013205
                      2,                 2.2114,                 2.2923,                  2.458,                0.27347,                0.16168,                0.13351,                0.04746,                 2.4632,                 2.6047,                 2.6024,              0.0019717,              0.0019717,              0.0019717
                      3,                 2.0646,                 2.1479,                 2.2814,                 0.2569,                0.24351,                0.16712,                0.06249,                 2.2827,                 2.7406,                 2.3685,              0.0019651,              0.0019651,              0.0019651
                      4,                 1.9535,                 2.0142,                 2.1612,                0.44464,                 0.3004,                0.30151,                0.12009,                 2.1939,                 2.0654,                 2.2633,              0.0019651,              0.0019651,              0.0019651
                      5,                 1.8921,                 1.8779,                 2.0833,                0.51244,                0.33034,                 0.3556,                0.14413,                 2.1112,                 1.9684,                 2.1829,              0.0019534,              0.0019534,              0.0019534
                      6,                 1.8253,                 1.7792,                  1.995,                0.52941,                0.36627,                0.41641,                0.18606,                  1.999,                 1.8013,                 2.0436,              0.0019418,              0.0019418,              0.0019418
                      7,                 1.7603,                 1.6778,                 1.9249,                0.57271,                0.39728,                0.43495,                 0.1825,                 2.0331,                 1.8034,                 2.0408,              0.0019301,              0.0019301,              0.0019301
                      8,                  1.722,                 1.6398,                 1.8948,                0.61225,                0.38024,                0.43712,                0.18128,                 2.0034,                 1.7993,                 2.0083,              0.0019185,              0.0019185,              0.0019185
                      9,                 1.6852,                 1.5798,                 1.8586,                 0.4981,                0.42914,                0.44324,                0.21789,                 1.9033,                  1.711,                 1.9416,              0.0019068,              0.0019068,              0.0019068
                     10,                 1.6464,                 1.5284,                 1.8356,                0.60036,                0.41317,                0.48074,                0.24087,                 1.8362,                 1.6123,                 1.8699,              0.0018952,              0.0018952,              0.0018952
                     11,                 1.6204,                 1.4829,                 1.7977,                0.60765,                 0.4481,                 0.5108,                0.26093,                 1.8303,                 1.5708,                 1.8716,              0.0018835,              0.0018835,              0.0018835
