                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3086,                 3.2992,                 3.7999,                0.02219,                0.05988,                0.00569,                0.00222,                 3.5547,                 5.1391,                 3.9907,             0.00066158,             0.00066158,             0.00066158
                      1,                 2.6075,                 2.5942,                 2.8561,                0.20706,                0.18862,                0.11193,                0.03886,                 2.5769,                 2.6394,                 2.7552,              0.0013217,              0.0013217,              0.0013217
                      2,                 2.2171,                 2.3033,                 2.4703,                0.29604,                0.21756,                0.17908,                0.06597,                 2.3516,                 2.7795,                  2.493,              0.0019752,              0.0019752,              0.0019752
                      3,                 2.0754,                 2.1342,                 2.2981,                0.35214,                 0.2734,                0.22463,                 0.0839,                 2.2943,                 2.2399,                 2.4071,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.9571,                  2.013,                 2.1665,                0.38729,                0.31731,                0.29673,                0.12447,                 2.1492,                 2.0639,                 2.2293,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.9038,                 1.8798,                 2.1011,                0.45959,                0.33356,                0.34996,                 0.1526,                 2.0728,                 1.9389,                 2.1775,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.8239,                 1.7817,                  2.019,                0.51637,                0.34204,                0.36412,                0.13951,                 2.1323,                 1.9359,                 2.1908,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.7637,                 1.6826,                 1.9511,                0.52326,                0.39721,                0.41638,                0.17096,                 2.0462,                 1.8117,                 2.0655,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.7333,                  1.639,                 1.9209,                0.54317,                0.39122,                0.40933,                0.17657,                 1.9921,                 1.8143,                 2.0341,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.6823,                 1.5802,                 1.8846,                0.65243,                0.41916,                0.50218,                0.23959,                 1.8816,                 1.6363,                  1.971,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.6471,                 1.5247,                 1.8565,                0.57638,                0.44012,                0.48928,                0.23325,                 1.8906,                 1.6561,                 1.9295,              0.0019109,              0.0019109,              0.0019109
